name,pubpriv,enrollment,allvaccs,conditional,medical,religious,dptMiss,polMiss,mmrMiss,hepMiss,varMiss
ROSCOMARE ROAD ELEMENTARY,PUBLIC,93,62.3655914,36.55913978,0,1.075268817,16.12903226,10.75268817,34.40860215,12.90322581,16.12903226
MYRON D. WITTER ELEMENTARY,PUBLIC,135,98.51851852,0.740740741,0,0.740740741,1.481481481,0.740740741,0.740740741,1.481481481,0.740740741
WORKMAN ELEMENTARY,PUBLIC,57,85.96491228,12.28070175,0,1.754385965,5.263157895,8.771929825,7.01754386,8.771929825,5.263157895
CAMINO NUEVO ACADEMY #2,PUBLIC,48,97.91666667,2.083333333,0,0,2.083333333,2.083333333,2.083333333,0,0
BRYANT ELEMENTARY,PUBLIC,88,100,0,0,0,0,0,0,0,0
HENDRICK RANCH ELEMENTARY,PUBLIC,124,96.77419355,3.225806452,0,0,3.225806452,3.225806452,0.806451613,1.612903226,0
ARROYO SECO MUSEUM SCIENCE,PUBLIC,23,95.65217391,4.347826087,0,0,4.347826087,4.347826087,4.347826087,4.347826087,4.347826087
FARNHAM CHARTER,PUBLIC,89,100,0,0,0,0,0,0,0,0
WESTFIELD VILLAGE ELEMENTARY,PUBLIC,109,85.32110092,14.67889908,0,0,11.00917431,7.339449541,10.09174312,3.669724771,1.834862385
MABEL CARVER ELEMENTARY,PUBLIC,27,92.59259259,3.703703704,0,3.703703704,7.407407407,7.407407407,7.407407407,7.407407407,7.407407407
RIVERSIDE MONTESSORI ACADEMY,PRIVATE,23,91.30434783,8.695652174,0,0,8.695652174,8.695652174,8.695652174,0,0
PALMER WAY,PUBLIC,107,86.91588785,13.08411215,0,0,13.08411215,13.08411215,12.14953271,7.476635514,7.476635514
CREEK VIEW ELEMENTARY,PUBLIC,112,95.53571429,2.678571429,0,1.785714286,3.571428571,1.785714286,1.785714286,3.571428571,1.785714286
